Дата,Пользователь,Страниц,Копий,Принтер,Документ,Компьютер,Формат листа,Драйвер,Высота,Ширина,Двусторонняя печать,Черно-белый,Размер файла
2026-04-01 07:19:21,eka-uzhm-nachsmen,1,1,HP LaserJet MFP M430-431 PCL-6 (V4),"Количество работающих по сменам 01.04.26.xlsx",EKA-WS-UXM00691,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,428kb,
2026-04-01 07:22:58,oleg.glavatskikh,1,1,Kyocera ECOSYS M2040dn KX,"КИСЛОРОД_09_02_ЗА_2024_ТХ3_ЗИ1_кислород_новое_Лист1.pdf",EKA-WS-GHM00044,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,428kb,
2026-04-01 07:23:12,oleg.glavatskikh,1,1,Kyocera ECOSYS M2040dn KX,"АЗОТ 09-01-ЗА-ТХ4.ЗИ1_азот-Лист1.pdf",EKA-WS-GHM00044,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,749kb,
2026-04-01 07:23:17,renat.khusainov,2,1,HP LaserJet M1530 MFP Series PCL 6,"Microsoft Word - адр бир тех375",EKA-WS-UXM00646,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,193kb,
2026-04-01 07:24:01,oleg.glavatskikh,1,1,Kyocera ECOSYS M2040dn KX,"Microsoft Word - Баллоны",EKA-WS-GHM00044,A4,EMF,,,NOT DUPLEX,GRAYSCALE,19kb,
2026-04-01 07:24:38,renat.khusainov,1,5,HP LaserJet M1530 MFP Series PCL 6,"Книга1",EKA-WS-UXM00646,A4,EMF,,,NOT DUPLEX,NOT GRAYSCALE,68kb,
2026-04-01 07:38:42,v.vasilev,3,1,HP LaserJet P1505,"piev_65071512887536_18_44_52.pdf",EKA-WS-UXM00270,A4,Zeno IMF,,,NOT DUPLEX,GRAYSCALE,4822kb,
2026-04-01 07:39:08,pavel.privalov,1,1,Kyocera ECOSYS M5526cdw KX,"KOMPAS - 712-06407.cdw",EKA-WS-UXM00154,A4,PCL6,,,DUPLEX,NOT GRAYSCALE,109kb,
2026-04-01 07:39:57,a.levin,1,1,HP LaserJet M1530 MFP Series PCL 6,"Microsoft Word - Телефоны работников АТУ ц. №31 ДНИ РОЖДЕНИЯ 2024",EKA-WS-UXM00131,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,105kb,
2026-04-01 07:40:37,pavel.privalov,2,1,Kyocera ECOSYS M5526cdw KX,"document",EKA-WS-UXM00154,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,185kb,
2026-04-01 07:42:14,pavel.privalov,1,1,Kyocera ECOSYS M5526cdw KX,"KOMPAS - 712-06408.cdw",EKA-WS-UXM00154,A4,PCL6,,,DUPLEX,NOT GRAYSCALE,107kb,
2026-04-01 07:42:39,pavel.privalov,2,1,Kyocera ECOSYS M5526cdw KX,"document",EKA-WS-UXM00154,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,184kb,
2026-04-01 07:44:13,a.kokovin,1,1,HP LaserJet MFP M430-431 PCL-6 (V4),"Табличный документ",EKA-WS-UXM00073,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,198kb,
2026-04-01 07:44:43,elizaveta.vershinina,1,1,HP LaserJet MFP M430-431 PCL-6 (V4) (сеть),"Microsoft Word - АЛ 2026 химический анализ",EKA-WS-UXM00944,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,203kb,
2026-04-01 07:45:09,m.kuzmin,1,4,Kyocera ECOSYS M2040dn KX,"График дежурств  с20.00 до 8.00.xlsx",EKA-WS-UXM00251,A4,EMF,,,NOT DUPLEX,GRAYSCALE,123kb,
2026-04-01 07:45:21,elizaveta.vershinina,1,1,HP LaserJet MFP M430-431 PCL-6 (V4) (сеть),"Microsoft Word - АЛ 2026",EKA-WS-UXM00944,,XPS,297mm,210mm,DUPLEX,GRAYSCALE,197kb,
2026-04-01 07:46:16,v.musikhina,3,1,Kyocera ECOSYS M2040dn KX,"Приложение к Приказу Порядок организации отдыха детей работников и формы заявлений.pdf",EKA-WS-UXM00938,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,2203kb,
2026-04-01 07:47:48,aleksandr.kuryshov,1,1,NPI7DA52C (HP LaserJet MFP M430) (сеть),"Табличный документ",EKA-WS-UXM00202,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,191kb,
2026-04-01 07:47:51,sergey.baranik,1,1,Kyocera ECOSYS M2040dn KX,"СЗ 405_023ВП от 18.06.2025 О подборе персонала.pdf",EKA-WS-UXM00103,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,913kb,
2026-04-01 07:48:50,inna.smirnova,1,1,Evolis Zenius (копия 1),"Пропуска",EKA-WS-UXM00993,,EMF,86mm,54mm,NOT DUPLEX,NOT GRAYSCALE,24590kb,
2026-04-01 07:49:03,inna.smirnova,1,1,Evolis Zenius (копия 1),"Пропуска",EKA-WS-UXM00993,,EMF,86mm,54mm,NOT DUPLEX,NOT GRAYSCALE,24590kb,
2026-04-01 07:49:07,m.khomyakov,1,1,Kyocera ECOSYS M2040dn KX,"Служебная записка № 591138ВП от 01.04.2026, О вывозе-ввозе СИ на поверку (штамп).pdf",EKA-WS-UXM00513,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,187kb,
2026-04-01 07:49:21,m.kuzmin,1,4,Kyocera ECOSYS M2040dn KX,"График дежурств  с20.00 до 8.00.xlsx",EKA-WS-UXM00251,A4,EMF,,,NOT DUPLEX,GRAYSCALE,122kb,
2026-04-01 07:49:52,i.vorontsova,6,1,Kyocera ECOSYS M2040dn KX,"НЗ №1985-10 от 18.03.2026 (штамп).pdf",EKA-WS-UXM00884,A4,EMF,,,DUPLEX,GRAYSCALE,4005kb,
2026-04-01 07:50:48,i.vorontsova,1,1,Kyocera ECOSYS M2040dn KX,"стр2 к-т 2.pdf",EKA-WS-UXM00884,A4,EMF,,,DUPLEX,GRAYSCALE,11325kb,
2026-04-01 07:51:06,i.vorontsova,1,1,Kyocera ECOSYS M2040dn KX,"2027176 к-т 1.pdf",EKA-WS-UXM00884,A4,EMF,,,DUPLEX,GRAYSCALE,11325kb,
2026-04-01 07:51:14,v.musikhina,2,1,Kyocera ECOSYS M2040dn KX,"Microsoft Word - Приказ Об организации летнего оздоровительного отд",EKA-WS-UXM00938,A4,EMF,,,NOT DUPLEX,NOT GRAYSCALE,116kb,
2026-04-01 07:51:36,i.vorontsova,1,1,Kyocera ECOSYS M2040dn KX,"2027176 к-т2 тит.pdf",EKA-WS-UXM00884,A4,EMF,,,DUPLEX,GRAYSCALE,11325kb,
2026-04-01 07:51:49,i.vorontsova,1,1,Kyocera ECOSYS M2040dn KX,"стр2 к-т1.pdf",EKA-WS-UXM00884,A4,EMF,,,DUPLEX,GRAYSCALE,11325kb,
2026-04-01 07:52:03,i.vorontsova,1,1,Kyocera ECOSYS M2040dn KX,"стр1 к-т2.pdf",EKA-WS-UXM00884,A4,EMF,,,DUPLEX,GRAYSCALE,11325kb,
2026-04-01 07:52:04,svetlana.porseva,2,1,HP LaserJet Professional P1102,"Microsoft Outlook - Заметка",EKA-WS-UXM00023,A4,Zeno IMF,,,NOT DUPLEX,GRAYSCALE,4467kb,
2026-04-01 07:52:16,i.vorontsova,1,1,Kyocera ECOSYS M2040dn KX,"стр 1 к-т1.pdf",EKA-WS-UXM00884,A4,EMF,,,DUPLEX,GRAYSCALE,11325kb,
2026-04-01 07:52:34,svetlana.porseva,2,1,HP LaserJet Professional P1102,"Microsoft Outlook - Заметка",EKA-WS-UXM00023,A4,Zeno IMF,,,NOT DUPLEX,GRAYSCALE,4467kb,
2026-04-01 07:52:46,svetlana.porseva,2,1,HP LaserJet Professional P1102,"Microsoft Outlook - Заметка",EKA-WS-UXM00023,A4,Zeno IMF,,,NOT DUPLEX,GRAYSCALE,312kb,
2026-04-01 07:52:59,svetlana.porseva,2,1,HP LaserJet Professional P1102,"Microsoft Outlook - Заметка",EKA-WS-UXM00023,A4,Zeno IMF,,,NOT DUPLEX,GRAYSCALE,314kb,
2026-04-01 07:54:05,alfred.zhanaliev,1,1,Kyocera ECOSYS M4125idn KX,"Microsoft Word - 2055.112.14 (38мх_изв.8697-4Т).docx",EKA-WS-UXM00223,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,72kb,
2026-04-01 07:54:09,svetlana.pushkareva,1,1,HP LaserJet MFP M430-431 PCL-6 (V4),"Табличный документ",EKA-WS-UXM00721,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,117kb,
2026-04-01 07:54:13,olga.baitova,3,1,Kyocera ECOSYS M2040dn KX,"Microsoft Word - Соглашение_прил 1-за март 2026",EKA-WS-UXM00734,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,106kb,
2026-04-01 07:54:21,a.levin,1,1,HP LaserJet M1530 MFP Series PCL 6,"31-29.pdf",EKA-WS-UXM00131,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,857kb,
2026-04-01 07:54:30,a.levin,1,1,HP LaserJet M1530 MFP Series PCL 6,"31-30.pdf",EKA-WS-UXM00131,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,1069kb,
2026-04-01 07:54:38,svetlana.porseva,1,1,HP LaserJet Professional P1102,"Microsoft Word - Porseva_2757_korot",EKA-WS-UXM00023,A4,Zeno IMF,,,NOT DUPLEX,GRAYSCALE,148kb,
2026-04-01 07:55:16,svetlana.porseva,1,1,HP LaserJet Professional P1102,"Porseva_2757_korotOut.pdf",EKA-WS-UXM00023,A4,Zeno IMF,,,NOT DUPLEX,GRAYSCALE,180kb,
2026-04-01 07:55:21,ea.vasileva,2,1,HP LaserJet Professional M1214nfh MFP,"Microsoft Word - процент дефектности сварных соединений",EKA-WS-GHM00204,A4,Zeno IMF,,,NOT DUPLEX,GRAYSCALE,62kb,
2026-04-01 07:55:24,alfred.zhanaliev,1,1,Kyocera ECOSYS M4125idn KX,"К0763.01.02.260 СБ_УЗХМ.pdf",EKA-WS-UXM00223,,EMF,,,NOT DUPLEX,GRAYSCALE,30827kb,
2026-04-01 07:55:38,sergey.smolin,1,1,Kyocera ECOSYS M2040dn KX,"Копия Синнара АО УРАЛХИММАШ(5)Февраль.xlsx",EKA-WS-UXM00337,A4,PCL6,,,DUPLEX,GRAYSCALE,133kb,
2026-04-01 07:56:36,valentina.ufimtseva,1,2,ECOSYS M2040dn,"Microsoft Word - Заявка на автотранспорт УМТО на 01.04.2026",EKA-WS-UXM00779,A4,PCL6,,,DUPLEX,GRAYSCALE,55kb,
2026-04-01 07:56:45,aleksey.bukreev,1,1,Kyocera ECOSYS M2040dn KX,"Microsoft Outlook - Заметка",EKA-WS-UXM00438,A4,EMF,,,NOT DUPLEX,GRAYSCALE,319kb,
2026-04-01 07:57:16,elena.tashbaeva,1,1,Kyocera ECOSYS M2040dn KX,"Табличный документ",EKA-WS-UXM00756,A4,EMF,,,NOT DUPLEX,GRAYSCALE,253kb,
2026-04-01 07:57:28,marat.usmanov,1,1,HP LaserJet MFP M430-431 PCL-6 (V4),"Microsoft Word - ССЗ 14.07.25 Бр. Бебенин  1 смена",EKA-WS-UXM00006,,XPS,297mm,210mm,DUPLEX,GRAYSCALE,258kb,
2026-04-01 07:57:52,inna.smirnova,1,1,Evolis Zenius (копия 1),"Пропуска",EKA-WS-UXM00993,,EMF,86mm,54mm,NOT DUPLEX,NOT GRAYSCALE,24591kb,
2026-04-01 07:58:16,valentina.ufimtseva,1,1,ECOSYS M2040dn,"Microsoft Outlook - Заметка",EKA-WS-UXM00779,A4,PCL6,,,DUPLEX,GRAYSCALE,163kb,
2026-04-01 07:58:20,marat.usmanov,1,1,HP LaserJet MFP M430-431 PCL-6 (V4),"Microsoft Word - ССЗ 12.01.26 Бр. Полушкин  1 смена (2)",EKA-WS-UXM00006,,XPS,297mm,210mm,DUPLEX,GRAYSCALE,202kb,
2026-04-01 07:58:46,sergey.baranik,2,1,Kyocera ECOSYS M2040dn KX,"doc02229120260331121957.pdf",EKA-WS-UXM00103,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,1984kb,
2026-04-01 07:59:11,valentina.ufimtseva,1,1,ECOSYS M2040dn,"doc06062420260331171306.pdf",EKA-WS-UXM00779,A4,EMF,,,DUPLEX,GRAYSCALE,11325kb,
2026-04-01 07:59:18,aleksandr.ulchinskiy,1,1,Kyocera ECOSYS M2040dn KX,"ЗД 01.16.1...3.pdf",EKA-WS-UXM00599,A4,PCL6,,,DUPLEX,GRAYSCALE,2867kb,
2026-04-01 07:59:30,yuliya.karpova,1,1,Kyocera ECOSYS M2040dn KX,"Бирки.xls",EKA-WS-UXM00480,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,28kb,
2026-04-01 08:00:55,yu.krugovova,1,1,HP LaserJet MFP M430-431 PCL-6 (V4),"Распоряжение Круговова, Шарова.docx.pdf",EKA-WS-UXM00676,,XPS,297mm,210mm,DUPLEX,GRAYSCALE,2456kb,
2026-04-01 08:01:02,andrey.savelkov,3,1,Kyocera ECOSYS M2040dn KX,"Март 2026г. Расчет по ИЦ дефектоскопистов  РК г.Глазов.xlsx",EKA-WS-UXM00514,A4,EMF,,,DUPLEX,GRAYSCALE,1063kb,
2026-04-01 08:02:24,sofya.zlobina,1,1,Kyocera ECOSYS M2040dn (копия 1),"Исх_69_01_01_от_1_04_2026_Химмаш_пропуск_персонал.pdf",EKA-WS-UXM00891,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,294kb,
2026-04-01 08:02:32,damir.kofan,2,1,HP LaserJet Pro M428-M429 PCL 6 (V3),"doc02506120260115083003.pdf",EKA-WS-UXM00549,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,2175kb,
2026-04-01 08:02:42,damir.kofan,2,1,HP LaserJet Pro M428-M429 PCL 6 (V3),"doc02506120260115083003.pdf",EKA-WS-UXM00549,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,2079kb,
2026-04-01 08:02:43,inna.smirnova,1,1,Evolis Zenius (копия 1),"Пропуска",EKA-WS-UXM00993,,EMF,86mm,54mm,NOT DUPLEX,NOT GRAYSCALE,24590kb,
2026-04-01 08:02:44,marina.nazarchuk,2,1,Kyocera TASKalfa 2553ci KX,"2026-03-31_Письмо о погашении ПДЗ.pdf",EKA-WS-UXM00994,A4,EMF,,,DUPLEX,GRAYSCALE,8379kb,
2026-04-01 08:02:59,viktoriya.troshkova,1,1,Kyocera TASKalfa 2552ci KX,"Microsoft Word - Приказ о возложении обязанностей отсутствующего работника",EKA-WS-UXM00263,A4,EMF,,,NOT DUPLEX,NOT GRAYSCALE,106kb,
2026-04-01 08:03:08,dilyara.aysina,3,1,HP LaserJet MFP M430-431 PCL-6 (V4),"Microsoft Word - 1 Решите пример.docx",EKA-WS-UXM00658,,XPS,297mm,210mm,DUPLEX,GRAYSCALE,998kb,
2026-04-01 08:03:52,aleksandr.ulchinskiy,1,1,Kyocera ECOSYS M2040dn KX,"ЗД 1.12.1...3.pdf",EKA-WS-UXM00599,A4,PCL6,,,DUPLEX,GRAYSCALE,2602kb,
2026-04-01 08:04:06,marina.nazarchuk,1,1,Kyocera TASKalfa 2553ci KX,"Certificate_1410273206.pdf",EKA-WS-UXM00994,A4,EMF,,,DUPLEX,NOT GRAYSCALE,3127kb,
2026-04-01 08:04:08,rasima.shaislamova,1,1,HP LaserJet Professional P1102,"Табличный документ",EKA-WS-UXM00072,A4,Zeno IMF,,,NOT DUPLEX,GRAYSCALE,102kb,
2026-04-01 08:04:17,andrey.savelkov,1,1,Kyocera ECOSYS M2040dn KX,"Март 2026г. Расчет по ИЦ дефектоскопистов  РК г.Глазов.xlsx",EKA-WS-UXM00514,A4,EMF,,,DUPLEX,GRAYSCALE,175kb,
2026-04-01 08:04:37,damir.kofan,2,1,HP LaserJet Pro M428-M429 PCL 6 (V3),"doc02506120260115083003.pdf",EKA-WS-UXM00549,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,2175kb,
2026-04-01 08:04:51,svetlana.pushkareva,5,1,HP LaserJet MFP M430-431 PCL-6 (V4),"document",EKA-WS-UXM00721,,XPS,297mm,210mm,DUPLEX,GRAYSCALE,988kb,
2026-04-01 08:05:09,m.usacheva,1,1,Kyocera ECOSYS M4125idn KX,"Счет на оплату № 758 от 26.03.2026 (002).pdf",EKA-WS-UXM00128,A4,PCL6,,,DUPLEX,GRAYSCALE,592kb,
2026-04-01 08:05:19,mikhail.vitrichenko,1,1,HP LaserJet M1005,"Microsoft Word - 2026-04-01 Газпром Газнадзор работа сверхурочно 04.04.2026",EKA-WS-GHM00184,A4,Zeno IMF,,,NOT DUPLEX,GRAYSCALE,198kb,
2026-04-01 08:05:48,damir.kofan,2,1,HP LaserJet Pro M428-M429 PCL 6 (V3),"doc02506120260115083003.pdf",EKA-WS-UXM00549,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,2079kb,
2026-04-01 08:06:08,oksana.kaneva,1,1,Kyocera ECOSYS M4125idn KX,"Microsoft Word - Исходящий документ АО",EKA-WS-UXM00146,A4,PCL6,,,DUPLEX,GRAYSCALE,160kb,
2026-04-01 08:06:23,aleksandr.ulchinskiy,1,1,Kyocera ECOSYS M2040dn KX,"ЗД 1.13.1...3.pdf",EKA-WS-UXM00599,A4,PCL6,,,DUPLEX,GRAYSCALE,2614kb,
2026-04-01 08:06:24,viktoriya.troshkova,1,1,Kyocera TASKalfa 2552ci KX,"Microsoft Word - Приказ по АХД №  от  Об участии Кулагина Н.Д. в олимпиаде",EKA-WS-UXM00263,A4,EMF,,,NOT DUPLEX,NOT GRAYSCALE,130kb,
2026-04-01 08:07:02,viktoriya.troshkova,1,1,Kyocera TASKalfa 2552ci KX,"Microsoft Word - Проект приказа Роев Е.Д., Мельников А.Н., Сердюков М.А. (нарушение графика работы)",EKA-WS-UXM00263,A4,EMF,,,NOT DUPLEX,NOT GRAYSCALE,159kb,
2026-04-01 08:07:06,aleksandr.ulchinskiy,1,1,Kyocera ECOSYS M2040dn KX,"ЗД 1.15.13.pdf",EKA-WS-UXM00599,A4,PCL6,,,DUPLEX,GRAYSCALE,2752kb,
2026-04-01 08:07:54,aleksandr.ulchinskiy,1,1,Kyocera ECOSYS M2040dn KX,"Зд 1.29.1...3.pdf",EKA-WS-UXM00599,A4,PCL6,,,DUPLEX,GRAYSCALE,2580kb,
2026-04-01 08:08:44,v.tikhonov,1,1,HP LaserJet MFP M430-431 PCL-6 (V4),"Microsoft Word - Распоряжение № 625_004Р от 11.02.2026, О назначении руководителя производственной практики",EKA-WS-UXM00325,,XPS,297mm,210mm,DUPLEX,GRAYSCALE,282kb,
2026-04-01 08:09:03,vera.demyanova,1,1,HP LaserJet Pro M428-M429 PCL 6 (V3),"document",EKA-WS-UXM00070,,XPS,297mm,210mm,NOT DUPLEX,GRAYSCALE,175kb,
2026-04-01 08:09:56,mikhail.lobza,3,1,Microsoft Print to PDF,"Табличный документ",EKA-WS-UXM00564,,XPS,297mm,210mm,NOT DUPLEX,NOT GRAYSCALE,215kb,
2026-04-01 08:11:44,darya.latysheva,2,1,HP LaserJet M1530 MFP Series PCL 6,"document",EKA-WS-UXM00373,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,225kb,
2026-04-01 08:12:40,mikhail.lobza,3,1,Canon LBP2900,"ТР 300.pdf",EKA-WS-UXM00564,A4,CANON CAPT,,,NOT DUPLEX,NOT GRAYSCALE,498kb,
2026-04-01 08:12:44,darya.latysheva,1,1,HP LaserJet M1530 MFP Series PCL 6,"document",EKA-WS-UXM00373,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,74kb,
2026-04-01 08:13:05,valeriy.merzlyakov,1,1,Kyocera ECOSYS M4125idn KX,"Отв. ТМК ПС на   760_01395    Запрос УЗХМ о запуске.pdf",EKA-WS-UXM00613,A4,EMF,,,NOT DUPLEX,GRAYSCALE,7754kb,
2026-04-01 08:13:20,lyudmila.mazur,4,1,Kyocera ECOSYS M2040dn v4 KX (PCL6),"АН 2025 (ПОКи) (1).pdf",EKA-WS-UXM00302,,XPS,297mm,210mm,DUPLEX,GRAYSCALE,790kb,
2026-04-01 08:13:30,elena.bazhukova,3,1,HP LaserJet M1530 MFP Series PCL 6,"Табличный документ",EKA-WS-UXM00322,LETTER,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,339kb,
2026-04-01 08:13:33,natalya.lopareva,3,1,HP LaserJet Professional M1212nf MFP,"Ответственные за обесточивания электрооборудования..docx",EKA-WS-GHM00230,A4,Zeno IMF,,,NOT DUPLEX,GRAYSCALE,139kb,
2026-04-01 08:13:53,alena.zimina,2,1,HP LaserJet Professional P1102,"00000002087.xls",EKA-WS-UXM00451,A4,Zeno IMF,,,NOT DUPLEX,GRAYSCALE,101kb,
2026-04-01 08:14:52,elena.bazhukova,1,1,HP LaserJet M1530 MFP Series PCL 6,"Табличный документ",EKA-WS-UXM00322,LETTER,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,161kb,
2026-04-01 08:15:04,glz-ghm-secretar,1,1,Kyocera ECOSYS M2040dn KX,"Microsoft Word - заявление",EKA-WS-GHM00020,A4,PCL6,,,DUPLEX,GRAYSCALE,59kb,
2026-04-01 08:15:10,ao.volkov,6,1,HP LaserJet Professional P1102,"НЗ №1985-10 от 18.03.2026 (штамп).pdf",EKA-WS-GHM00178,A4,Zeno IMF,,,NOT DUPLEX,GRAYSCALE,1103kb,
2026-04-01 08:15:15,mikhail.zheleznov,1,1,Kyocera ECOSYS M2040dn KX,"Табличный документ",EKA-WS-UXM00076,A4,EMF,,,NOT DUPLEX,GRAYSCALE,125kb,
2026-04-01 08:15:22,alena.zimina,2,1,HP LaserJet Professional P1102,"00000002087.xls",EKA-WS-UXM00451,A4,Zeno IMF,,,NOT DUPLEX,GRAYSCALE,101kb,
2026-04-01 08:15:23,pavel.dubchuk,1,1,HP LaserJet MFP M430-431 PCL-6 (V4),"FPT — копия — копия.xlsx",EKA-WS-UXM00591,,XPS,297mm,210mm,DUPLEX,GRAYSCALE,426kb,
2026-04-01 08:15:32,a.mitrokhin,2,1,Kyocera ECOSYS M2040dn KX,"Табличный документ",EKA-WS-UXM00300,A4,EMF,,,DUPLEX,GRAYSCALE,399kb,
2026-04-01 08:15:32,pavel.dubchuk,1,1,Kyocera ECOSYS M2040dn KX,"FPT — копия — копия.xlsx",EKA-WS-UXM00591,A4,PCL6,,,DUPLEX,GRAYSCALE,62kb,
2026-04-01 08:15:48,natalya.lopareva,1,1,HP LaserJet Professional M1212nf MFP,"Распоряжение на ежегод обучение - маляр2026.docx",EKA-WS-GHM00230,A4,Zeno IMF,,,NOT DUPLEX,GRAYSCALE,39kb,
2026-04-01 08:15:53,andrey.semakin,2,1,HP LaserJet Professional M1132 MFP,"Табличный документ",EKA-WS-GHM00186,A4,Zeno IMF,,,NOT DUPLEX,GRAYSCALE,231kb,
2026-04-01 08:16:13,ao.volkov,3,1,HP LaserJet Professional P1102,"НЗ №1973-08 от 19.03.2026 (штамп).pdf",EKA-WS-GHM00178,A4,Zeno IMF,,,NOT DUPLEX,GRAYSCALE,646kb,
2026-04-01 08:16:24,alena.zimina,1,1,HP LaserJet Professional P1102,"заявка 2087.pdf",EKA-WS-UXM00451,A4,Zeno IMF,,,NOT DUPLEX,GRAYSCALE,931kb,
